"1 _ 1",,
"Time","Force","Stroke"
"sec","N","mm"
"3.8","245.045","0.6334667"
"3.81","245.4797","0.6351333"
"3.82","245.9224","0.6367667"
"3.83","246.3714","0.6384667"
"3.84","246.8165","0.6401333"
"3.85","247.256","0.6418"
"3.86","247.6907","0.6434667"
"3.87","248.1246","0.6451667"
"3.88","248.5649","0.6468"
"3.89","249.0107","0.6484333"
"3.9","249.4526","0.6501333"
"3.91","249.8857","0.6518"
"3.92","250.3149","0.6534667"
"3.93","250.7432","0.6551334"
"3.94","251.1779","0.6568"
"3.95","251.6198","0.6584667"
"3.96","252.0601","0.6601334"
"3.97","252.4837","0.6618"
"3.98","252.8969","0.6634667"
"3.99","253.3158","0.6651334"
"4","253.7449","0.6668333"
"4.01","254.1749","0.6684667"
"4.02","254.6024","0.6701334"
"4.03","255.0252","0.6718"
"4.04","255.4425","0.6735"
"4.05","255.8565","0.6751333"
"4.06","256.269","0.6768"
"4.07","256.687","0.6785"
"4.08","257.1161","0.6801333"
"4.09","257.5493","0.6818"
"4.1","257.9705","0.6834667"
"4.11","258.3798","0.6851333"
"4.12","258.7827","0.6868"
"4.13","259.1872","0.6884667"
"4.14","259.5862","0.6901333"
"4.15","259.9788","0.6917667"
"4.16","260.3722","0.6934333"
"4.17","260.7703","0.6951333"
"4.18","261.1717","0.6968"
"4.19","261.5746","0.6984667"
"4.2","261.9775","0.7001667"
"4.21","262.3924","0.7018"
"4.22","262.8159","0.7034333"
"4.23","263.2308","0.7051333"
"4.24","263.6321","0.7068"
"4.25","264.0287","0.7084666"
"4.26","264.4285","0.7101333"
"4.27","264.8282","0.7118334"
"4.28","265.2192","0.7134667"
"4.29","265.6023","0.7151334"
"4.3","265.9845","0.7168"
"4.31","266.3708","0.7184667"
"4.32","266.757","0.7201334"
"4.33","267.144","0.7218"
"4.34","267.5311","0.7234667"
"4.35","267.9189","0.7251334"
"4.36","268.298","0.7268"
"4.37","268.6755","0.7284667"
"4.38","269.0577","0.7301334"
"4.39","269.4424","0.7318"
"4.4","269.8207","0.7335"
"4.41","270.1974","0.7351333"
"4.42","270.5884","0.7368"
"4.43","270.9929","0.7384667"
"4.44","271.3927","0.7401333"
"4.45","271.7852","0.7418333"
"4.46","272.1858","0.7435"
"4.47","272.5983","0.7451667"
"4.48","273.0084","0.7468"
"4.49","273.4105","0.7484334"
"4.5","273.8158","0.7501333"
"4.51","274.233","0.7518"
"4.52","274.6526","0.7534667"
"4.53","275.0715","0.7551333"
"4.54","275.4927","0.7568"
"4.55","275.9186","0.7584667"
"4.56","276.3454","0.7601"
"4.57","276.7626","0.7618"
"4.58","277.1743","0.7634667"
"4.59","277.5995","0.7651333"
"4.6","278.0429","0.7668"
"4.61","278.4896","0.7684667"
"4.62","278.9291","0.7701333"
"4.63","279.3733","0.7718"
"4.64","279.8311","0.7734666"
"4.65","280.2896","0.7751334"
"4.66","280.7347","0.7768"
"4.67","281.179","0.7785"
"4.68","281.6407","0.7801334"
"4.69","282.1048","0.7818"
"4.7","282.5546","0.7834667"
"4.71","282.9997","0.7851334"
"4.72","283.4535","0.7868"
"4.73","283.9128","0.7884667"
"4.74","284.365","0.7901334"
"4.75","284.8188","0.7917667"
"4.76","285.2901","0.7934667"
"4.77","285.778","0.7951334"
"4.78","286.2557","0.7968"
"4.79","286.7119","0.7984667"
"4.8","287.1712","0.8001667"
"4.81","287.6465","0.8018"
"4.82","288.1225","0.8034667"
"4.83","288.5906","0.8051333"
"4.84","289.0698","0.8068"
"4.85","289.5665","0.8084667"
"4.86","290.0537","0.8101333"
"4.87","290.5202","0.8118"
"4.88","290.9875","0.8134667"
"4.89","291.4643","0.8151"
"4.9","291.9372","0.8168"
"4.91","292.3973","0.8184667"
"4.92","292.8575","0.8201"
"4.93","293.3296","0.8218"
"4.94","293.8143","0.8234667"
"4.95","294.3007","0.8251333"
"4.96","294.7823","0.8268"
"4.97","295.2647","0.8284667"
"4.98","295.7551","0.8301333"
"4.99","296.2446","0.8317667"
"5","296.7294","0.8334666"
"5.01","297.2158","0.8351333"
"5.02","297.7149","0.8367667"
"5.03","298.2195","0.8384667"
"5.04","298.713","0.8401334"
"5.05","299.1978","0.8418"
"5.06","299.6906","0.8434667"
"5.07","300.188","0.8451667"
"5.08","300.6784","0.8468"
"5.09","301.1568","0.8484667"
"5.1","301.644","0.8501334"
"5.11","302.1455","0.8518"
"5.12","302.6414","0.8534667"
"5.13","303.1182","0.8551334"
"5.14","303.5927","0.8568"
"5.15","304.0799","0.8584334"
"5.16","304.567","0.8601"
"5.17","305.0375","0.8618"
"5.18","305.5008","0.8634667"
"5.19","305.9721","0.8651333"
"5.2","306.4497","0.8668333"
"5.21","306.9226","0.8684667"
"5.22","307.3947","0.8701"
"5.23","307.8715","0.8718"
"5.24","308.3483","0.8734667"
"5.25","308.8172","0.8751"
"5.26","309.2853","0.8768"
"5.27","309.7614","0.8784667"
"5.28","310.2358","0.8801333"
"5.29","310.7","0.8817667"
"5.3","311.1585","0.8834667"
"5.31","311.621","0.8851333"
"5.32","312.0939","0.8867667"
"5.33","312.5715","0.8884667"
"5.34","313.046","0.8901333"
"5.35","313.5164","0.8918"
"5.36","313.9854","0.8934667"
"5.37","314.451","0.8951333"
"5.38","314.9136","0.8968"
"5.39","315.3745","0.8984667"
"5.4","315.8347","0.9001334"
"5.41","316.2901","0.9018"
"5.42","316.7462","0.9034667"
"5.43","317.2104","0.9051334"
"5.44","317.6785","0.9068"
"5.45","318.141","0.9084667"
"5.46","318.5972","0.9101334"
"5.47","319.0533","0.9118333"
"5.48","319.5095","0.9134667"
"5.49","319.9641","0.9151334"
"5.5","320.4171","0.9168"
"5.51","320.8733","0.9184667"
"5.52","321.3279","0.9201334"
"5.53","321.7816","0.9218"
"5.54","322.2322","0.9234667"
"5.55","322.6813","0.9251333"
"5.56","323.1271","0.9267667"
"5.57","323.5738","0.9284667"
"5.58","324.0196","0.9301333"
"5.59","324.4567","0.9318"
"5.6","324.8882","0.9334667"
"5.61","325.3206","0.9351333"
"5.62","325.7537","0.9368"
"5.63","326.1852","0.9384667"
"5.64","326.6112","0.9401333"
"5.65","327.0261","0.9417667"
"5.66","327.429","0.9434667"
"5.67","327.8343","0.9451666"
"5.68","328.2531","0.9468"
"5.69","328.6807","0.9484667"
"5.7","329.1178","0.9501333"
"5.71","329.5541","0.9518"
"5.72","329.9872","0.9534667"
"5.73","330.4171","0.9551333"
"5.74","330.8471","0.9568"
"5.75","331.2675","0.9584333"
"5.76","331.6784","0.9601334"
"5.77","332.094","0.9618"
"5.78","332.5192","0.9634667"
"5.79","332.9373","0.9651334"
"5.8","333.3457","0.9668"
"5.81","333.7502","0.9684667"
"5.82","334.1516","0.9701"
"5.83","334.5466","0.9718"
"5.84","334.9431","0.9734667"
"5.85","335.3484","0.9751334"
"5.86","335.753","0.9768"
"5.87","336.1479","0.9785"
"5.88","336.5389","0.9801334"
"5.89","336.9331","0.9817667"
"5.9","337.3202","0.9834667"
"5.91","337.6945","0.9851333"
"5.92","338.0648","0.9868"
"5.93","338.4487","0.9884667"
"5.94","338.8373","0.9901333"
"5.95","339.214","0.9918"
"5.96","339.5804","0.9934667"
"5.97","339.9587","0.9951333"
"5.98","340.3513","0.9967667"
"5.99","340.7351","0.9984334"
"6","341.0919","1.000133"
"6.01","341.4512","1.0018"
"6.02","341.8295","1.003467"
"6.03","342.2086","1.005133"
"6.04","342.5685","1.0068"
"6.05","342.9222","1.008467"
"6.06","343.2886","1.010133"
"6.07","343.6605","1.011833"
"6.08","344.0245","1.013467"
"6.09","344.3766","1.015133"
"6.1","344.7366","1.0168"
"6.11","345.1125","1.018467"
"6.12","345.4908","1.020133"
"6.13","345.8508","1.0218"
"6.14","346.1981","1.023467"
"6.15","346.5549","1.0251"
"6.16","346.9229","1.026767"
"6.17","347.2861","1.028467"
"6.18","347.6421","1.030133"
"6.19","348.0061","1.0318"
"6.2","348.3733","1.033467"
"6.21","348.7309","1.035133"
"6.22","349.0782","1.036767"
"6.23","349.4358","1.038467"
"6.24","349.8046","1.040133"
"6.25","350.1709","1.0418"
"6.26","350.5278","1.0435"
"6.27","350.8878","1.045167"
"6.28","351.2621","1.0468"
"6.29","351.6404","1.048467"
"6.3","352.0028","1.050133"
"6.31","352.3524","1.0518"
"6.32","352.7029","1.053467"
"6.33","353.0622","1.055133"
"6.34","353.4206","1.056833"
"6.35","353.7719","1.058467"
"6.36","354.1223","1.060133"
"6.37","354.476","1.0618"
"6.38","354.8169","1.063467"
"6.39","355.1483","1.0651"
"6.4","355.4885","1.0668"
"6.41","355.8381","1.068467"
"6.42","356.1791","1.070133"
"6.43","356.5105","1.0718"
"6.44","356.8466","1.073467"
"6.45","357.1876","1.075133"
"6.46","357.5277","1.0768"
"6.47","357.8663","1.078467"
"6.48","358.208","1.080133"
"6.49","358.5482","1.081767"
"6.5","358.8812","1.083467"
"6.51","359.203","1.085133"
"6.52","359.5177","1.0868"
"6.53","359.8325","1.088467"
"6.54","360.1559","1.090133"
"6.55","360.4905","1.091767"
"6.56","360.8267","1.093433"
"6.57","361.1557","1.095133"
"6.58","361.4704","1.0968"
"6.59","361.7732","1.098467"
"6.6","362.076","1.100167"
"6.61","362.3867","1.1018"
"6.62","362.6943","1.103467"
"6.63","362.9923","1.105133"
"6.64","363.2831","1.1068"
"6.65","363.5756","1.108467"
"6.66","363.8712","1.110133"
"6.67","364.1661","1.111833"
"6.68","364.4625","1.113467"
"6.69","364.7621","1.115133"
"6.7","365.0665","1.1168"
"6.71","365.3709","1.118467"
"6.72","365.6649","1.120133"
"6.73","365.9463","1.1218"
"6.74","366.234","1.123467"
"6.75","366.5312","1.125133"
"6.76","366.8308","1.1268"
"6.77","367.1257","1.128467"
"6.78","367.4189","1.130133"
"6.79","367.709","1.1318"
"6.8","367.9951","1.133467"
"6.81","368.2796","1.135133"
"6.82","368.5657","1.136767"
"6.83","368.8518","1.138467"
"6.84","369.1347","1.140133"
"6.85","369.4208","1.1418"
"6.86","369.7069","1.143467"
"6.87","369.9938","1.145133"
"6.88","370.2815","1.1468"
"6.89","370.5637","1.148433"
"6.9","370.8379","1.150133"
"6.91","371.1065","1.1518"
"6.92","371.3703","1.153467"
"6.93","371.6357","1.155133"
"6.94","371.9099","1.1568"
"6.95","372.1881","1.158433"
"6.96","372.4599","1.160133"
"6.97","372.7213","1.1618"
"6.98","372.986","1.163467"
"6.99","373.2657","1.165133"
"7","373.5487","1.166833"
"7.01","373.826","1.168467"
"7.02","374.1002","1.170133"
"7.03","374.3728","1.1718"
"7.04","374.6398","1.173467"
"7.05","374.9021","1.175133"
"7.06","375.1683","1.1768"
"7.07","375.4385","1.1785"
"7.08","375.7064","1.180133"
"7.09","375.9662","1.1818"
"7.1","376.2277","1.183467"
"7.11","376.4915","1.185133"
"7.12","376.753","1.186767"
"7.13","377.0065","1.188433"
"7.14","377.2608","1.1901"
"7.15","377.5263","1.191767"
"7.16","377.7925","1.193433"
"7.17","378.0492","1.195133"
"7.18","378.3059","1.1968"
"7.19","378.5777","1.198467"
"7.2","378.8598","1.200133"
"7.21","379.1396","1.2018"
"7.22","379.4146","1.203433"
"7.23","379.688","1.205133"
"7.24","379.9558","1.2068"
"7.25","380.2133","1.208467"
"7.26","380.4692","1.210133"
"7.27","380.733","1.211833"
"7.28","381.0008","1.213467"
"7.29","381.2631","1.215133"
"7.3","381.5262","1.2168"
"7.31","381.7868","1.218467"
"7.32","382.0403","1.2201"
"7.33","382.2891","1.2218"
"7.34","382.5386","1.223467"
"7.35","382.7906","1.225133"
"7.36","383.0465","1.2268"
"7.37","383.3103","1.228467"
"7.38","383.5694","1.230133"
"7.39","383.815","1.2318"
"7.4","384.0574","1.233467"
"7.41","384.3141","1.235133"
"7.42","384.5763","1.236767"
"7.43","384.8362","1.238467"
"7.44","385.1016","1.240133"
"7.45","385.3782","1.2418"
"7.46","385.6691","1.2435"
"7.47","385.9631","1.245167"
"7.48","386.2492","1.2468"
"7.49","386.525","1.248433"
"7.5","386.8032","1.250133"
"7.51","387.0924","1.2518"
"7.52","387.3809","1.253467"
"7.53","387.6686","1.255133"
"7.54","387.9619","1.2568"
"7.55","388.2639","1.258467"
"7.56","388.5651","1.2601"
"7.57","388.8647","1.2618"
"7.58","389.1722","1.263467"
"7.59","389.4846","1.265133"
"7.6","389.7985","1.2668"
"7.61","390.1132","1.268467"
"7.62","390.4279","1.270133"
"7.63","390.7466","1.2718"
"7.64","391.0677","1.273467"
"7.65","391.3832","1.275133"
"7.66","391.6812","1.2768"
"7.67","391.9745","1.2785"
"7.68","392.2907","1.280133"
"7.69","392.6245","1.2818"
"7.7","392.9583","1.283467"
"7.71","393.2826","1.285133"
"7.72","393.6005","1.2868"
"7.73","393.9136","1.288467"
"7.74","394.2235","1.290133"
"7.75","394.5374","1.291767"
"7.76","394.8625","1.293467"
"7.77","395.1907","1.295133"
"7.78","395.511","1.2968"
"7.79","395.8249","1.298467"
"7.8","396.142","1.300167"
"7.81","396.4742","1.3018"
"7.82","396.8048","1.303433"
"7.83","397.1203","1.305133"
"7.84","397.435","1.3068"
"7.85","397.7625","1.308467"
"7.86","398.0963","1.310133"
"7.87","398.4165","1.311833"
"7.88","398.7281","1.313467"
"7.89","399.0507","1.3151"
"7.9","399.3797","1.3168"
"7.91","399.7032","1.318433"
"7.92","400.0187","1.3201"
"7.93","400.3398","1.3218"
"7.94","400.6688","1.323467"
"7.95","400.9922","1.325133"
"7.96","401.3069","1.3268"
"7.97","401.6241","1.328467"
"7.98","401.9531","1.330133"
"7.99","402.2797","1.3318"
"8","402.5992","1.333467"
"8.01","402.9187","1.335133"
"8.02","403.2437","1.3368"
"8.03","403.5711","1.338467"
"8.04","403.8874","1.340133"
"8.05","404.1926","1.3418"
"8.06","404.4994","1.343467"
"8.07","404.8141","1.345167"
"8.08","405.1288","1.3468"
"8.09","405.4443","1.348467"
"8.1","405.7614","1.350133"
"8.11","406.0737","1.3518"
"8.12","406.3694","1.353467"
"8.13","406.6595","1.355133"
"8.14","406.9543","1.3568"
"8.15","407.261","1.358433"
"8.16","407.5718","1.3601"
"8.17","407.8786","1.3618"
"8.18","408.1766","1.363467"
"8.19","408.4714","1.365133"
"8.2","408.7742","1.366833"
"8.21","409.0834","1.368467"
"8.22","409.3901","1.3701"
"8.23","409.6961","1.3718"
"8.24","410.0052","1.373467"
"8.25","410.3144","1.375133"
"8.26","410.6204","1.3768"
"8.27","410.9263","1.378467"
"8.28","411.2347","1.380133"
"8.29","411.5399","1.3818"
"8.3","411.8379","1.383467"
"8.31","412.1391","1.385133"
"8.32","412.4419","1.386767"
"8.33","412.7415","1.388467"
"8.34","413.0268","1.390133"
"8.35","413.305","1.3918"
"8.36","413.5903","1.393467"
"8.37","413.8915","1.395133"
"8.38","414.1959","1.3968"
"8.39","414.4843","1.398467"
"8.4","414.7665","1.400133"
"8.41","415.0526","1.401767"
"8.42","415.3434","1.403433"
"8.43","415.6335","1.405133"
"8.44","415.9268","1.4068"
"8.45","416.2192","1.408467"
"8.46","416.5038","1.410133"
"8.47","416.7835","1.411833"
