Project:	anna_barrier_ceramic_04_21_2025

Test:	std d=1.5mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	12	160.03	0.034762	0.44329	78.419	1		0.0012773	2.23E+04	4:53:47 PM	-0.0126
	13	165.03	0.02728	0.36505	74.728	1		0.0010024	2.25E+04	4:53:52 PM	-0.0127
	14	170.04	0.021408	0.28899	74.079	1		0.00078663	2.26E+04	4:53:57 PM	-0.0125
	15	175.04	0.0168	0.22003	76.355	1		0.00061732	2.28E+04	4:54:02 PM	-0.0124
	16	180.04	0.013184	0.16423	80.276	1		0.00048444	2.29E+04	4:54:07 PM	-0.0122
	17	185.04	0.010346	0.11895	86.982	1		0.00038017	2.29E+04	4:54:12 PM	-0.0124
	18	190.04	0.0081194	0.086287	94.098	1		0.00029834	2.3E+04	4:54:17 PM	-0.0124
	19	195.04	0.0063718	0.062173	102.48	1		0.00023413	2.3E+04	4:54:22 PM	-0.0121
	20	200.04	0.0050003	0.044132	113.3	1		0.00018373	2.3E+04	4:54:27 PM	-0.012

Test:	std d=0.5mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	5.001	0.0050042	0.0019785	2529.3	0.5		0.00018388	0.261	5:02:32 PM	-0.0356
	2	10.002	0.006371	0.015317	415.95	0.5		0.0002341	4.36	5:02:37 PM	-0.0356
	3	15.003	0.0081184	0.033735	240.65	0.5		0.00029831	16.5	5:02:42 PM	-0.0356
	4	20.003	0.010345	0.053621	192.93	0.5		0.00038013	38.3	5:02:47 PM	-0.0353
	5	25.005	0.013183	0.079664	165.48	0.5		0.00048439	71.5	5:02:52 PM	-0.0357
	6	30.006	0.016798	0.11185	150.18	0.5		0.00061724	119	5:02:57 PM	-0.0355
	7	35.007	0.021405	0.15138	141.4	0.5		0.00078653	185	5:03:02 PM	-0.0354
	8	40.008	0.027276	0.20442	133.43	0.5		0.0010023	273	5:03:07 PM	-0.0353
	9	45.009	0.034758	0.27021	128.63	0.5		0.0012772	392	5:03:12 PM	-0.0353
	10	50.01	0.044291	0.35453	124.93	0.5		0.0016274	547	5:03:17 PM	-0.0354
	11	55.011	0.056439	0.4648	121.42	0.5		0.0020738	751	5:03:22 PM	-0.0353
	12	60.012	0.071919	0.61114	117.68	0.5		0.0026426	1.02E+03	5:03:27 PM	-0.0353
	13	65.013	0.091644	0.81151	112.93	0.5		0.0033674	1.37E+03	5:03:32 PM	-0.0351
	14	70.014	0.11678	1.0891	107.22	0.5		0.004291	1.85E+03	5:03:37 PM	-0.035
	15	75.015	0.14881	1.458	102.06	0.5		0.0054679	2.48E+03	5:03:42 PM	-0.0349
	16	80.016	0.18962	1.8908	100.29	0.5		0.0069676	3.32E+03	5:03:47 PM	-0.0347
	17	85.017	0.24163	2.4069	100.39	0.5		0.0088787	4.39E+03	5:03:52 PM	-0.0344
	18	90.018	0.30791	3.1988	96.257	0.5		0.011314	5.78E+03	5:03:57 PM	-0.0341
	19	95.019	0.39236	4.1843	93.77	0.5		0.014417	7.62E+03	5:04:02 PM	-0.0343
	20	100.02	0.49997	5.3967	92.644	0.5		0.018371	1E+04	5:04:07 PM	-0.0344

Interval and data points:	2	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	105.02	0.5	5.6696	88.19	0.5		0.018372	1.28E+04	5:04:12 PM	-0.0348
	2	110.02	0.39241	4.6972	83.541	0.5		0.014419	1.54E+04	5:04:17 PM	-0.035
	3	115.02	0.30795	3.6942	83.36	0.5		0.011315	1.75E+04	5:04:22 PM	-0.035
	4	120.03	0.24166	2.8354	85.23	0.5		0.0088798	1.92E+04	5:04:27 PM	-0.0353
	5	125.03	0.18965	2.2263	85.183	0.5		0.0069685	2.04E+04	5:04:32 PM	-0.0356
	6	130.03	0.14883	1.6607	89.617	0.5		0.0054686	2.14E+04	5:04:37 PM	-0.0349
	7	135.03	0.11679	1.2193	95.789	0.5		0.0042915	2.21E+04	5:04:42 PM	-0.035
	8	140.03	0.091655	0.92136	99.478	0.5		0.0033678	2.26E+04	5:04:47 PM	-0.0351
	9	145.03	0.071927	0.7094	101.39	0.5		0.0026429	2.3E+04	5:04:52 PM	-0.0346
	10	150.03	0.056446	0.54538	103.5	0.5		0.0020741	2.34E+04	5:04:57 PM	-0.0348
	11	155.03	0.044296	0.4111	107.75	0.5		0.0016276	2.36E+04	5:05:02 PM	-0.0349
	12	160.03	0.034762	0.29994	115.9	0.5		0.0012773	2.38E+04	5:05:07 PM	-0.035
	13	165.03	0.02728	0.21188	128.75	0.5		0.0010024	2.39E+04	5:05:12 PM	-0.0351
	14	170.04	0.021408	0.14223	150.52	0.5		0.00078663	2.4E+04	5:05:17 PM	-0.0349
	15	175.04	0.0168	0.085451	196.61	0.5		0.00061732	2.4E+04	5:05:22 PM	-0.0349
	16	180.04	0.013184	0.04024	327.64	0.5		0.00048444	2.41E+04	5:05:27 PM	-0.0348
	17	185.04	0.010346	0.008702	1189	0.5		0.00038017	2.41E+04	5:05:32 PM	-0.0344
	18	190.04	0.0081194	-0.01667	-487.07	0.5		0.00029834	2.41E+04	5:05:37 PM	-0.0343
	19	195.04	0.0063718	-0.038696	-164.66	0.5		0.00023413	2.41E+04	5:05:42 PM	-0.0343
	20	200.04	0.0050003	-0.053921	-92.735	0.5		0.00018373	2.4E+04	5:05:47 PM	-0.0342

Test:	std d=0.18mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	5	0.0050152	-0.071183	-70.455	0.18		0.00018428	-15.9	5:08:13 PM	-0.0555
	2	10.001	0.006371	-0.061973	-102.8	0.18		0.0002341	-51.4	5:08:18 PM	-0.0552
	3	15.002	0.0081184	-0.036405	-223	0.18		0.00029831	-76.3	5:08:23 PM	-0.0551
	4	20.003	0.010345	0.00044017	23503	0.18		0.00038013	-85.5	5:08:28 PM	-0.0547
	5	25.004	0.013183	0.042313	311.55	0.18		0.00048439	-74.8	5:08:33 PM	-0.0548
	6	30.005	0.016798	0.099898	168.15	0.18		0.00061724	-39.7	5:08:38 PM	-0.0545
	7	35.006	0.021405	0.17313	123.64	0.18		0.00078653	28.3	5:08:43 PM	-0.0539
	8	40.007	0.027276	0.25772	105.84	0.18		0.0010023	136	5:08:48 PM	-0.0538
	9	45.008	0.034758	0.36739	94.606	0.18		0.0012772	292	5:08:53 PM	-0.0542
	10	50.009	0.044291	0.50716	87.332	0.18		0.0016274	510	5:08:58 PM	-0.053
	11	55.01	0.056439	0.68587	82.288	0.18		0.0020738	807	5:09:03 PM	-0.0538
	12	60.011	0.071919	0.90842	79.169	0.18		0.0026426	1.21E+03	5:09:08 PM	-0.0535
	13	65.012	0.091644	1.1896	77.035	0.18		0.0033674	1.73E+03	5:09:13 PM	-0.0532
