Project:	anna_barrier_ceramic_04_21_2025

Test:	std d=1.5mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	184	46	0.5	-0.0015457	-3.2348E+05	0.04997		0.018372	2.41E+03	5:29:46 PM	-0.0435
	185	46.25	0.5	-0.00020582	-2.4293E+06	0.04997		0.018372	2.41E+03	5:29:46 PM	-0.0441
	186	46.5	0.5	-0.0016819	-2.9728E+05	0.04997		0.018372	2.41E+03	5:29:46 PM	-0.0431
	187	46.75	0.5	0.0010909	4.5835E+05	0.04997		0.018372	2.41E+03	5:29:46 PM	-0.043
	188	47	0.5	-0.0011852	-4.2186E+05	0.04997		0.018372	2.41E+03	5:29:47 PM	-0.0434
	189	47.25	0.5	0.00014932	3.3486E+06	0.04997		0.018372	2.41E+03	5:29:47 PM	-0.0435
	190	47.5	0.5	0.0049796	1.0041E+05	0.04997		0.018372	2.41E+03	5:29:47 PM	-0.0434
	191	47.75	0.5	0.00012014	4.162E+06	0.04997		0.018372	2.41E+03	5:29:47 PM	-0.0425
	192	48	0.5	0.00018812	2.6579E+06	0.04997		0.018372	2.41E+03	5:29:48 PM	-0.0426
	193	48.25	0.5	-0.0017167	-2.9126E+05	0.04997		0.018372	2.41E+03	5:29:48 PM	-0.0422
	194	48.5	0.5	0.0018029	2.7732E+05	0.04997		0.018372	2.41E+03	5:29:48 PM	-0.0423
	195	48.75	0.5	0.0014807	3.3768E+05	0.04997		0.018372	2.41E+03	5:29:48 PM	-0.0417
	196	49	0.5	-0.0044236	-1.1303E+05	0.04997		0.018372	2.41E+03	5:29:49 PM	-0.0424
	197	49.25	0.5	-0.00092042	-5.4323E+05	0.04997		0.018372	2.41E+03	5:29:49 PM	-0.0424
	198	49.5	0.5	0.0025201	1.9841E+05	0.04997		0.018372	2.41E+03	5:29:49 PM	-0.0426
	199	49.75	0.5	-0.0019917	-2.5104E+05	0.04997		0.018372	2.41E+03	5:29:49 PM	-0.0428
	200	50	0.5	-0.0031545	-1.585E+05	0.04997		0.018372	2.41E+03	5:29:50 PM	-0.0416
	201	50.25	0.5	0.0041877	1.194E+05	0.04997		0.018372	2.41E+03	5:29:50 PM	-0.0428
	202	50.5	0.5	-0.0024834	-2.0134E+05	0.04997		0.018372	2.41E+03	5:29:50 PM	-0.0429
	203	50.75	0.5	0.0008984	5.5655E+05	0.04997		0.018372	2.41E+03	5:29:50 PM	-0.0433
	204	51	0.5	0.0056485	88519	0.04997		0.018372	2.41E+03	5:29:51 PM	-0.0427
	205	51.25	0.5	-0.0033054	-1.5127E+05	0.04997		0.018372	2.41E+03	5:29:51 PM	-0.042
	206	51.5	0.5	-0.00051623	-9.6855E+05	0.04997		0.018372	2.41E+03	5:29:51 PM	-0.0423
	207	51.75	0.5	0.00067642	7.3918E+05	0.04997		0.018372	2.41E+03	5:29:51 PM	-0.0421
	208	52	0.5	0.0018126	2.7585E+05	0.04997		0.018372	2.41E+03	5:29:52 PM	-0.042
	209	52.25	0.5	-0.0020212	-2.4738E+05	0.04997		0.018372	2.41E+03	5:29:52 PM	-0.0421
	210	52.5	0.5	0.0010011	4.9944E+05	0.04997		0.018372	2.41E+03	5:29:52 PM	-0.0428
	211	52.75	0.5	-0.0026982	-1.8531E+05	0.04997		0.018372	2.41E+03	5:29:52 PM	-0.0415
	212	53	0.5	0.00034705	1.4407E+06	0.04997		0.018372	2.41E+03	5:29:53 PM	-0.0407
	213	53.25	0.5	0.00037251	1.3422E+06	0.04997		0.018372	2.41E+03	5:29:53 PM	-0.0424
	214	53.5	0.5	-0.002538	-1.97E+05	0.04997		0.018372	2.41E+03	5:29:53 PM	-0.0419
	215	53.75	0.5	0.0019405	2.5767E+05	0.04997		0.018372	2.41E+03	5:29:53 PM	-0.0423
	216	54	0.5	0.0023943	2.0883E+05	0.04997		0.018372	2.41E+03	5:29:54 PM	-0.0419
	217	54.25	0.5	0.0028873	1.7317E+05	0.04997		0.018372	2.41E+03	5:29:54 PM	-0.0422
	218	54.5	0.5	-0.0011917	-4.1956E+05	0.04997		0.018372	2.41E+03	5:29:54 PM	-0.0427
	219	54.75	0.5	-0.0019777	-2.5282E+05	0.04997		0.018372	2.41E+03	5:29:54 PM	-0.0423
	220	55	0.5	-0.00082759	-6.0416E+05	0.04997		0.018372	2.41E+03	5:29:55 PM	-0.0422
	221	55.25	0.5	-0.00076271	-6.5556E+05	0.04997		0.018372	2.41E+03	5:29:55 PM	-0.0418
	222	55.5	0.5	0.0032495	1.5387E+05	0.04997		0.018372	2.41E+03	5:29:55 PM	-0.0417
	223	55.75	0.5	-0.0013261	-3.7704E+05	0.04997		0.018372	2.41E+03	5:29:55 PM	-0.0419
	224	56	0.5	0.0012659	3.9497E+05	0.04997		0.018372	2.41E+03	5:29:56 PM	-0.0419
	225	56.25	0.5	0.0013112	3.8132E+05	0.04997		0.018372	2.41E+03	5:29:56 PM	-0.0422
	226	56.5	0.5	-0.0019622	-2.5482E+05	0.04997		0.018372	2.41E+03	5:29:56 PM	-0.0417
	227	56.75	0.5	0.0014916	3.3521E+05	0.04997		0.018372	2.41E+03	5:29:56 PM	-0.0418
	228	57	0.5	0.0032883	1.5206E+05	0.04997		0.018372	2.41E+03	5:29:57 PM	-0.0408
	229	57.25	0.5	-0.0046501	-1.0752E+05	0.04997		0.018372	2.41E+03	5:29:57 PM	-0.042
	230	57.5	0.5	-0.0017868	-2.7983E+05	0.04997		0.018372	2.41E+03	5:29:57 PM	-0.0411
	231	57.75	0.5	0.0026094	1.9161E+05	0.04997		0.018372	2.41E+03	5:29:57 PM	-0.0415
	232	58	0.5	-0.0042891	-1.1657E+05	0.04997		0.018372	2.41E+03	5:29:58 PM	-0.0418
	233	58.25	0.5	-0.0013674	-3.6566E+05	0.04997		0.018372	2.41E+03	5:29:58 PM	-0.0411
	234	58.5	0.5	0.0061455	81360	0.04997		0.018372	2.41E+03	5:29:58 PM	-0.0419
	235	58.75	0.5	-1.9867E-05	-2.5167E+07	0.04997		0.018372	2.41E+03	5:29:58 PM	-0.0425
	236	59	0.5	-0.00095797	-5.2194E+05	0.04997		0.018372	2.41E+03	5:29:59 PM	-0.0424
	237	59.25	0.5	-0.00012075	-4.1406E+06	0.04997		0.018372	2.41E+03	5:29:59 PM	-0.0409
	238	59.5	0.5	0.0015875	3.1496E+05	0.04997		0.018372	2.41E+03	5:29:59 PM	-0.0419
	239	59.75	0.5	-0.00075246	-6.6448E+05	0.04997		0.018372	2.41E+03	5:29:59 PM	-0.0415
	240	60	0.5	0.00069007	7.2456E+05	0.04997		0.018372	2.41E+03	5:30:00 PM	-0.0421
	241	60.25	0.5	-0.00059631	-8.3848E+05	0.04997		0.018372	2.41E+03	5:30:00 PM	-0.0416
	242	60.5	0.5	-0.0015307	-3.2665E+05	0.04997		0.018372	2.41E+03	5:30:00 PM	-0.0411
	243	60.75	0.5	-0.00036351	-1.3755E+06	0.04997		0.018372	2.41E+03	5:30:00 PM	-0.042
	244	61	0.5	0.00056249	8.889E+05	0.04997		0.018372	2.41E+03	5:30:01 PM	-0.0419
	245	61.25	0.5	-0.0011225	-4.4544E+05	0.04997		0.018372	2.41E+03	5:30:01 PM	-0.0415
	246	61.5	0.5	-0.0021019	-2.3788E+05	0.04997		0.018372	2.41E+03	5:30:01 PM	-0.04
	247	61.75	0.5	0.00058762	8.5089E+05	0.04997		0.018372	2.41E+03	5:30:01 PM	-0.0404
	248	62	0.5	0.0013466	3.713E+05	0.04997		0.018372	2.41E+03	5:30:02 PM	-0.0415
	249	62.25	0.5	0.0034056	1.4682E+05	0.04997		0.018372	2.41E+03	5:30:02 PM	-0.041
	250	62.5	0.5	0.00048488	1.0312E+06	0.04997		0.018372	2.41E+03	5:30:02 PM	-0.0409
	251	62.75	0.5	5.0908E-05	9.8216E+06	0.04997		0.018372	2.41E+03	5:30:02 PM	-0.0404
	252	63	0.5	0.0032309	1.5476E+05	0.04997		0.018372	2.41E+03	5:30:03 PM	-0.0411
	253	63.25	0.5	-0.0011535	-4.3345E+05	0.04997		0.018372	2.41E+03	5:30:03 PM	-0.0414
	254	63.5	0.5	0.0014711	3.3989E+05	0.04997		0.018372	2.41E+03	5:30:03 PM	-0.0412
	255	63.75	0.5	-0.0033401	-1.4969E+05	0.04997		0.018372	2.41E+03	5:30:03 PM	-0.0419
	256	64	0.5	-0.0074263	-67328	0.04997		0.018372	2.41E+03	5:30:04 PM	-0.0412
	257	64.25	0.5	0.00078164	6.3968E+05	0.04997		0.018372	2.41E+03	5:30:04 PM	-0.0419
	258	64.5	0.5	-0.00055658	-8.9834E+05	0.04997		0.018372	2.41E+03	5:30:04 PM	-0.0412
	259	64.75	0.5	-0.001747	-2.862E+05	0.04997		0.018372	2.41E+03	5:30:04 PM	-0.0409
	260	65	0.5	0.0014404	3.4713E+05	0.04997		0.018372	2.41E+03	5:30:05 PM	-0.041
	261	65.25	0.5	0.0024486	2.042E+05	0.04997		0.018372	2.41E+03	5:30:05 PM	-0.0404
	262	65.5	0.5	-0.0038343	-1.304E+05	0.04997		0.018372	2.41E+03	5:30:05 PM	-0.0406
	263	65.75	0.5	-0.0018079	-2.7656E+05	0.04997		0.018372	2.41E+03	5:30:05 PM	-0.042
	264	66	0.5	0.0041593	1.2021E+05	0.04997		0.018372	2.41E+03	5:30:06 PM	-0.0402
	265	66.25	0.5	-0.0018976	-2.6349E+05	0.04997		0.018372	2.41E+03	5:30:06 PM	-0.0414
	266	66.5	0.5	0.00031259	1.5995E+06	0.04997		0.018372	2.41E+03	5:30:06 PM	-0.0408
	267	66.75	0.5	0.00083845	5.9634E+05	0.04997		0.018372	2.41E+03	5:30:06 PM	-0.0412
	268	67	0.5	0.00021885	2.2847E+06	0.04997		0.018372	2.41E+03	5:30:07 PM	-0.0414
	269	67.25	0.5	-0.0004467	-1.1193E+06	0.04997		0.018372	2.41E+03	5:30:07 PM	-0.0416
	270	67.5	0.5	-0.00023965	-2.0864E+06	0.04997		0.018372	2.41E+03	5:30:07 PM	-0.0417
	271	67.75	0.5	-0.00070652	-7.077E+05	0.04997		0.018372	2.41E+03	5:30:07 PM	-0.0416
	272	68	0.5	-0.0023551	-2.123E+05	0.04997		0.018372	2.41E+03	5:30:08 PM	-0.041
	273	68.25	0.5	0.0020892	2.3933E+05	0.04997		0.018372	2.41E+03	5:30:08 PM	-0.0418
	274	68.5	0.5	-0.0010759	-4.6472E+05	0.04997		0.018372	2.41E+03	5:30:08 PM	-0.0407
	275	68.75	0.5	0.0018417	2.7148E+05	0.04997		0.018372	2.41E+03	5:30:08 PM	-0.0418
	276	69	0.5	0.0013587	3.6799E+05	0.04997		0.018372	2.41E+03	5:30:09 PM	-0.0409
	277	69.25	0.5	-0.0023629	-2.116E+05	0.04997		0.018372	2.41E+03	5:30:09 PM	-0.0419
	278	69.5	0.5	0.00059569	8.3937E+05	0.04997		0.018372	2.41E+03	5:30:09 PM	-0.0406
	279	69.75	0.5	-0.0020684	-2.4174E+05	0.04997		0.018372	2.41E+03	5:30:09 PM	-0.0414
	280	70	0.5	-0.0035357	-1.4142E+05	0.04997		0.018372	2.41E+03	5:30:10 PM	-0.0406
	281	70.25	0.5	-0.0014115	-3.5424E+05	0.04997		0.018372	2.41E+03	5:30:10 PM	-0.0404
	282	70.5	0.5	-0.0015217	-3.2859E+05	0.04997		0.018372	2.41E+03	5:30:10 PM	-0.0411
	283	70.75	0.5	-0.0054426	-91867	0.04997		0.018372	2.41E+03	5:30:10 PM	-0.0412
	284	71	0.5	0.0016505	3.0294E+05	0.04997		0.018372	2.41E+03	5:30:11 PM	-0.0405
	285	71.25	0.5	0.0020773	2.407E+05	0.04997		0.018372	2.41E+03	5:30:11 PM	-0.0402
	286	71.5	0.5	-0.005244	-95347	0.04997		0.018372	2.41E+03	5:30:11 PM	-0.0414
	287	71.75	0.5	0.0032017	1.5617E+05	0.04997		0.018372	2.41E+03	5:30:11 PM	-0.041
	288	72	0.5	-0.0013165	-3.798E+05	0.04997		0.018372	2.41E+03	5:30:12 PM	-0.0402
	289	72.25	0.5	-0.0024517	-2.0394E+05	0.04997		0.018372	2.41E+03	5:30:12 PM	-0.0406
	290	72.5	0.5	0.0025855	1.9339E+05	0.04997		0.018372	2.41E+03	5:30:12 PM	-0.0407
	291	72.75	0.5	-0.0023061	-2.1682E+05	0.04997		0.018372	2.41E+03	5:30:12 PM	-0.0408
	292	73	0.5	-0.0065362	-76497	0.04997		0.018372	2.41E+03	5:30:13 PM	-0.0413
	293	73.25	0.5	-0.0016179	-3.0904E+05	0.04997		0.018372	2.41E+03	5:30:13 PM	-0.0408
	294	73.5	0.5	0.0029822	1.6766E+05	0.04997		0.018372	2.41E+03	5:30:13 PM	-0.0409
	295	73.75	0.5	-0.001264	-3.9556E+05	0.04997		0.018372	2.41E+03	5:30:13 PM	-0.0413
	296	74	0.5	0.00076085	6.5716E+05	0.04997		0.018372	2.41E+03	5:30:14 PM	-0.0406
	297	74.25	0.5	0.0021099	2.3698E+05	0.04997		0.018372	2.41E+03	5:30:14 PM	-0.0401
	298	74.5	0.5	-0.003288	-1.5207E+05	0.04997		0.018372	2.41E+03	5:30:14 PM	-0.0407
	299	74.75	0.5	-0.0019327	-2.5871E+05	0.04997		0.018372	2.41E+03	5:30:14 PM	-0.0407
	300	75	0.5	0.0039042	1.2807E+05	0.04997		0.018372	2.41E+03	5:30:15 PM	-0.0408
	301	75.25	0.5	0.0055475	90131	0.04997		0.018372	2.41E+03	5:30:15 PM	-0.0402
	302	75.5	0.5	-0.0030124	-1.6598E+05	0.04997		0.018372	2.41E+03	5:30:15 PM	-0.0416
	303	75.75	0.5	-0.0015934	-3.1379E+05	0.04997		0.018372	2.41E+03	5:30:15 PM	-0.0409
	304	76	0.5	0.0024424	2.0472E+05	0.04997		0.018372	2.41E+03	5:30:16 PM	-0.0412
	305	76.25	0.5	0.003135	1.5949E+05	0.04997		0.018372	2.41E+03	5:30:16 PM	-0.0417
	306	76.5	0.5	-0.00047711	-1.048E+06	0.04997		0.018372	2.41E+03	5:30:16 PM	-0.0411
	307	76.75	0.5	-0.0037288	-1.3409E+05	0.04997		0.018372	2.41E+03	5:30:16 PM	-0.0411
	308	77	0.5	-0.00036816	-1.3581E+06	0.04997		0.018372	2.41E+03	5:30:17 PM	-0.0409
	309	77.25	0.5	0.00041161	1.2147E+06	0.04997		0.018372	2.41E+03	5:30:17 PM	-0.0409
	310	77.5	0.5	-0.00061588	-8.1185E+05	0.04997		0.018372	2.41E+03	5:30:17 PM	-0.0407
	311	77.75	0.5	0.0052939	94448	0.04997		0.018372	2.41E+03	5:30:17 PM	-0.0412
	312	78	0.5	0.0009117	5.4842E+05	0.04997		0.018372	2.41E+03	5:30:18 PM	-0.0406
	313	78.25	0.5	-0.0021751	-2.2988E+05	0.04997		0.018372	2.41E+03	5:30:18 PM	-0.0405
	314	78.5	0.5	0.0013267	3.7686E+05	0.04997		0.018372	2.41E+03	5:30:18 PM	-0.0408
	315	78.75	0.5	0.0019175	2.6076E+05	0.04997		0.018372	2.41E+03	5:30:18 PM	-0.0409
	316	79	0.5	-0.0029397	-1.7009E+05	0.04997		0.018372	2.41E+03	5:30:19 PM	-0.0401
	317	79.25	0.5	0.0023815	2.0995E+05	0.04997		0.018372	2.41E+03	5:30:19 PM	-0.0402
	318	79.5	0.5	-0.001368	-3.6549E+05	0.04997		0.018372	2.41E+03	5:30:19 PM	-0.0414
	319	79.75	0.5	-0.0032517	-1.5376E+05	0.04997		0.018372	2.41E+03	5:30:19 PM	-0.0418
	320	80	0.5	-0.00079933	-6.2552E+05	0.04997		0.018372	2.41E+03	5:30:20 PM	-0.0405
	321	80.25	0.5	-0.0016722	-2.9901E+05	0.04997		0.018372	2.41E+03	5:30:20 PM	-0.0402
	322	80.5	0.5	-0.0030797	-1.6236E+05	0.04997		0.018372	2.41E+03	5:30:20 PM	-0.0406
	323	80.75	0.5	-0.00029055	-1.7209E+06	0.04997		0.018372	2.41E+03	5:30:20 PM	-0.0408
	324	81	0.5	0.00062239	8.0336E+05	0.04997		0.018372	2.41E+03	5:30:21 PM	-0.0403
	325	81.25	0.5	0.0025662	1.9484E+05	0.04997		0.018372	2.41E+03	5:30:21 PM	-0.0398
	326	81.5	0.5	-7.0776E-05	-7.0646E+06	0.04997		0.018372	2.41E+03	5:30:21 PM	-0.0406
	327	81.75	0.5	2.8559E-05	1.7508E+07	0.04997		0.018372	2.41E+03	5:30:21 PM	-0.041
	328	82	0.5	0.0012619	3.9623E+05	0.04997		0.018372	2.41E+03	5:30:22 PM	-0.0416
	329	82.25	0.5	0.0019684	2.5401E+05	0.04997		0.018372	2.41E+03	5:30:22 PM	-0.0418
	330	82.5	0.5	-0.0019625	-2.5478E+05	0.04997		0.018372	2.41E+03	5:30:22 PM	-0.0416
	331	82.75	0.5	0.0013755	3.6351E+05	0.04997		0.018372	2.41E+03	5:30:22 PM	-0.0405
	332	83	0.5	0.0027093	1.8455E+05	0.04997		0.018372	2.41E+03	5:30:23 PM	-0.0401
	333	83.25	0.5	-0.0031792	-1.5727E+05	0.04997		0.018372	2.41E+03	5:30:23 PM	-0.0396
	334	83.5	0.5	-0.00089525	-5.585E+05	0.04997		0.018372	2.41E+03	5:30:23 PM	-0.0401
	335	83.75	0.5	0.00054105	9.2412E+05	0.04997		0.018372	2.41E+03	5:30:23 PM	-0.0399
	336	84	0.5	-0.00014683	-3.4054E+06	0.04997		0.018372	2.41E+03	5:30:24 PM	-0.0403
	337	84.25	0.5	0.0010619	4.7083E+05	0.04997		0.018372	2.41E+03	5:30:24 PM	-0.0405
	338	84.5	0.5	0.0064062	78050	0.04997		0.018372	2.41E+03	5:30:24 PM	-0.0406
	339	84.75	0.5	0.0031468	1.5889E+05	0.04997		0.018372	2.41E+03	5:30:24 PM	-0.0411
	340	85	0.5	-0.0019261	-2.5959E+05	0.04997		0.018372	2.41E+03	5:30:25 PM	-0.0399
	341	85.25	0.5	0.0018038	2.7719E+05	0.04997		0.018372	2.41E+03	5:30:25 PM	-0.04
	342	85.5	0.5	-0.0024747	-2.0205E+05	0.04997		0.018372	2.41E+03	5:30:25 PM	-0.0401
	343	85.75	0.5	-0.0011607	-4.3079E+05	0.04997		0.018372	2.41E+03	5:30:25 PM	-0.0406
	344	86	0.5	0.0038992	1.2823E+05	0.04997		0.018372	2.41E+03	5:30:26 PM	-0.0399
	345	86.25	0.5	-0.0044378	-1.1267E+05	0.04997		0.018372	2.41E+03	5:30:26 PM	-0.0412
	346	86.5	0.5	-0.0015785	-3.1676E+05	0.04997		0.018372	2.41E+03	5:30:26 PM	-0.0405
	347	86.75	0.5	0.0032206	1.5525E+05	0.04997		0.018372	2.41E+03	5:30:26 PM	-0.0406
	348	87	0.5	0.0024191	2.0669E+05	0.04997		0.018372	2.41E+03	5:30:27 PM	-0.0405
	349	87.25	0.5	0.0020813	2.4023E+05	0.04997		0.018372	2.41E+03	5:30:27 PM	-0.0404
	350	87.5	0.5	0.0081755	61158	0.04997		0.018372	2.41E+03	5:30:27 PM	-0.0409
	351	87.75	0.5	0.00013379	3.7372E+06	0.04997		0.018372	2.41E+03	5:30:27 PM	-0.0404
	352	88	0.5	0.0015887	3.1471E+05	0.04997		0.018372	2.41E+03	5:30:28 PM	-0.0405
	353	88.25	0.5	0.0022385	2.2337E+05	0.04997		0.018372	2.41E+03	5:30:28 PM	-0.0408
	354	88.5	0.5	8.2882E-05	6.0327E+06	0.04997		0.018372	2.41E+03	5:30:28 PM	-0.0401
	355	88.75	0.5	0.00026417	1.8927E+06	0.04997		0.018372	2.41E+03	5:30:28 PM	-0.0403
	356	89	0.5	-0.000772	-6.4767E+05	0.04997		0.018372	2.41E+03	5:30:29 PM	-0.04
	357	89.25	0.5	-0.0035946	-1.391E+05	0.04997		0.018372	2.41E+03	5:30:29 PM	-0.04
	358	89.5	0.5	-0.00060283	-8.2942E+05	0.04997		0.018372	2.41E+03	5:30:29 PM	-0.0407
	359	89.75	0.5	-0.00079591	-6.2821E+05	0.04997		0.018372	2.41E+03	5:30:29 PM	-0.0404
	360	90	0.5	-0.00073042	-6.8454E+05	0.04997		0.018372	2.41E+03	5:30:30 PM	-0.041
	361	90.25	0.5	0.0010921	4.5784E+05	0.04997		0.018372	2.41E+03	5:30:30 PM	-0.0414
	362	90.5	0.5	0.003702	1.3506E+05	0.04997		0.018372	2.41E+03	5:30:30 PM	-0.0399
	363	90.75	0.5	-0.00043769	-1.1424E+06	0.04997		0.018372	2.41E+03	5:30:30 PM	-0.0397
	364	91	0.5	-0.0013997	-3.5723E+05	0.04997		0.018372	2.41E+03	5:30:31 PM	-0.0401
	365	91.25	0.5	0.0018122	2.759E+05	0.04997		0.018372	2.41E+03	5:30:31 PM	-0.0407
	366	91.5	0.5	0.0015518	3.2221E+05	0.04997		0.018372	2.41E+03	5:30:31 PM	-0.0402
	367	91.75	0.5	-0.0010809	-4.6259E+05	0.04997		0.018372	2.41E+03	5:30:31 PM	-0.04
	368	92	0.5	-0.001395	-3.5842E+05	0.04997		0.018372	2.41E+03	5:30:32 PM	-0.0397
	369	92.25	0.5	-0.00032655	-1.5311E+06	0.04997		0.018372	2.41E+03	5:30:32 PM	-0.0402
	370	92.5	0.5	-0.0020748	-2.4099E+05	0.04997		0.018372	2.41E+03	5:30:32 PM	-0.0396
	371	92.75	0.5	0.0021878	2.2854E+05	0.04997		0.018372	2.41E+03	5:30:32 PM	-0.0408
	372	93	0.5	-0.00079869	-6.2602E+05	0.04997		0.018372	2.41E+03	5:30:33 PM	-0.0398
	373	93.25	0.5	-0.0014708	-3.3996E+05	0.04997		0.018372	2.41E+03	5:30:33 PM	-0.0398
	374	93.5	0.5	0.002971	1.6829E+05	0.04997		0.018372	2.41E+03	5:30:33 PM	-0.0403
	375	93.75	0.5	-0.00067267	-7.4331E+05	0.04997		0.018372	2.41E+03	5:30:33 PM	-0.0401
	376	94	0.5	0.00045942	1.0883E+06	0.04997		0.018372	2.41E+03	5:30:34 PM	-0.0406
	377	94.25	0.5	0.0034298	1.4578E+05	0.04997		0.018372	2.41E+03	5:30:34 PM	-0.0397
	378	94.5	0.5	0.00056806	8.8019E+05	0.04997		0.018372	2.41E+03	5:30:34 PM	-0.0401
	379	94.75	0.5	-0.0017982	-2.7805E+05	0.04997		0.018372	2.41E+03	5:30:34 PM	-0.0399
	380	95	0.5	0.0025516	1.9596E+05	0.04997		0.018372	2.41E+03	5:30:35 PM	-0.0387
	381	95.25	0.5	-0.0017573	-2.8453E+05	0.04997		0.018372	2.41E+03	5:30:35 PM	-0.0399
	382	95.5	0.5	-0.0015958	-3.1331E+05	0.04997		0.018372	2.41E+03	5:30:35 PM	-0.0406
	383	95.75	0.5	-0.0014385	-3.4759E+05	0.04997		0.018372	2.41E+03	5:30:35 PM	-0.041
	384	96	0.5	-0.0011721	-4.2657E+05	0.04997		0.018372	2.41E+03	5:30:36 PM	-0.0404
	385	96.25	0.5	0.001151	4.344E+05	0.04997		0.018372	2.41E+03	5:30:36 PM	-0.0399
	386	96.5	0.5	-0.001567	-3.1909E+05	0.04997		0.018372	2.41E+03	5:30:36 PM	-0.0403
	387	96.75	0.5	0.0017898	2.7935E+05	0.04997		0.018372	2.41E+03	5:30:36 PM	-0.0398
	388	97	0.5	0.0041928	1.1925E+05	0.04997		0.018372	2.41E+03	5:30:37 PM	-0.0398
	389	97.25	0.5	0.00021295	2.348E+06	0.04997		0.018372	2.41E+03	5:30:37 PM	-0.0406
	390	97.5	0.5	-0.0015266	-3.2752E+05	0.04997		0.018372	2.41E+03	5:30:37 PM	-0.0399
	391	97.75	0.5	0.0056993	87730	0.04997		0.018372	2.41E+03	5:30:37 PM	-0.0397
	392	98	0.5	-0.00043893	-1.1391E+06	0.04997		0.018372	2.41E+03	5:30:38 PM	-0.0405
	393	98.25	0.5	-0.0051989	-96174	0.04997		0.018372	2.41E+03	5:30:38 PM	-0.0403
	394	98.5	0.5	0.0011526	4.3381E+05	0.04997		0.018372	2.41E+03	5:30:38 PM	-0.0392
	395	98.75	0.5	0.00055036	9.0849E+05	0.04997		0.018372	2.41E+03	5:30:38 PM	-0.0396
	396	99	0.5	-0.0037545	-1.3317E+05	0.04997		0.018372	2.41E+03	5:30:39 PM	-0.0406
	397	99.25	0.5	0.0022207	2.2515E+05	0.04997		0.018372	2.41E+03	5:30:39 PM	-0.0398
	398	99.5	0.5	0.00032377	1.5443E+06	0.04997		0.018372	2.41E+03	5:30:39 PM	-0.0404
	399	99.75	0.5	-0.0027035	-1.8495E+05	0.04997		0.018372	2.41E+03	5:30:39 PM	-0.0412
	400	100	0.5	-0.0010579	-4.7263E+05	0.04997		0.018372	2.41E+03	5:30:40 PM	-0.0413
	401	100.25	0.5	0.001549	3.2279E+05	0.04997		0.018372	2.41E+03	5:30:40 PM	-0.0397
	402	100.5	0.5	-0.001589	-3.1466E+05	0.04997		0.018372	2.41E+03	5:30:40 PM	-0.0397
	403	100.75	0.5	-0.0031231	-1.601E+05	0.04997		0.018372	2.41E+03	5:30:40 PM	-0.0394
	404	101	0.5	0.0028332	1.7648E+05	0.04997		0.018372	2.41E+03	5:30:41 PM	-0.0402
	405	101.25	0.5	-0.0025743	-1.9423E+05	0.04997		0.018372	2.41E+03	5:30:41 PM	-0.04
	406	101.5	0.5	-0.0032498	-1.5386E+05	0.04997		0.018372	2.41E+03	5:30:41 PM	-0.0402
	407	101.75	0.5	4.3148E-05	1.1588E+07	0.04997		0.018372	2.41E+03	5:30:41 PM	-0.0399
	408	102	0.5	-0.0042223	-1.1842E+05	0.04997		0.018372	2.41E+03	5:30:42 PM	-0.0403
	409	102.25	0.5	-9.002E-06	-5.5543E+07	0.04997		0.018372	2.41E+03	5:30:42 PM	-0.0405
	410	102.5	0.5	0.00068012	7.3517E+05	0.04997		0.018372	2.41E+03	5:30:42 PM	-0.0388
	411	102.75	0.5	-0.001706	-2.9308E+05	0.04997		0.018372	2.41E+03	5:30:42 PM	-0.0394
	412	103	0.5	0.0009269	5.3943E+05	0.04997		0.018372	2.41E+03	5:30:43 PM	-0.0398
	413	103.25	0.5	0.0021645	2.31E+05	0.04997		0.018372	2.41E+03	5:30:43 PM	-0.04
	414	103.5	0.5	-0.0010359	-4.8269E+05	0.04997		0.018372	2.41E+03	5:30:43 PM	-0.0397
	415	103.75	0.5	-0.00027875	-1.7937E+06	0.04997		0.018372	2.41E+03	5:30:43 PM	-0.0393
	416	104	0.5	-0.00022753	-2.1975E+06	0.04997		0.018372	2.41E+03	5:30:44 PM	-0.0404
	417	104.25	0.5	-0.0063409	-78853	0.04997		0.018372	2.41E+03	5:30:44 PM	-0.0392
	418	104.5	0.5	0.0041055	1.2179E+05	0.04997		0.018372	2.41E+03	5:30:44 PM	-0.0395
	419	104.75	0.5	-0.00029272	-1.7081E+06	0.04997		0.018372	2.41E+03	5:30:44 PM	-0.0398
	420	105	0.5	-0.00071395	-7.0033E+05	0.04997		0.018372	2.41E+03	5:30:45 PM	-0.0392
	421	105.25	0.5	-0.00033183	-1.5068E+06	0.04997		0.018372	2.41E+03	5:30:45 PM	-0.0398
	422	105.5	0.5	-0.00098618	-5.0701E+05	0.04997		0.018372	2.41E+03	5:30:45 PM	-0.0388
	423	105.75	0.5	2.9179E-05	1.7136E+07	0.04997		0.018372	2.41E+03	5:30:45 PM	-0.0394
	424	106	0.5	-0.00026509	-1.8862E+06	0.04997		0.018372	2.41E+03	5:30:46 PM	-0.0389
